Station,Latitude,Longitude,Elevation,NZS1170SiteClass,Vs30,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,District
015A,-39.48905314,176.8981976,60,C,440,0.1,Q2,Stolte et al. 2021 unpublished,0.05,0.3,Q3,I,Kaiser et al. (2017),58,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6675,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
018A,-38.66403882,178.0249143,5,E,138,0.1,Q2,Barker 1994 Kingma 1964,1.11,0.1,Q1,Ms,Stolte et al. 2021 unpublished,78,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),10175,0.5,Q3,NZVM (2021),0,0,0,Gisborne
025A,-39.58494918,174.2734648,100,D,210,0.1,Q2,Barker 1997a,0.6,0.2,Q2,Ms,Unpub HVSR (Van Houtte),49,0.5,Q2,1,Kaiser et al. (2017) & NZVM (2021),1425,0.5,Q3,NZVM (2021),0,0,0,Taranaki
027A,-39.50455346,176.8959975,14,D,230,0.0176,Q2,Stolte et al. 2021 unpublished,0.87,0.2,Q2,I,Stolte et al. 2021 unpublished,163,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6525,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
027C,-39.50455346,176.8959975,14,D,230,0.0176,Q2,Stolte et al. 2021 unpublished,0.87,0.2,Q2,I,Stolte et al. 2021 unpublished,163,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6525,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
044A,-45.89839582,170.5092855,19,E,140,0.1,Q2,Barker 1996,0.7,0.1,Q1,I,Sangster 2020,50,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,0,Otago
096A,-39.03374495,177.4235057,20,E,155,0.1,Q2,Barker 1994,1.5,0.3,Q3,I,Cousins et al. (1996),98,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),8725,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
132A,-41.29748792,174.7809641,5,C,245,0.1,Q2,McVerry (2011),0.52,0.2,Q2,I,Kaiser et al. 2019,48,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
225B,-39.03384495,177.4235057,20,E,155,0.1,Q2,Barker 1994,1.5,0.3,Q3,I,Cousins et al. (1996),98,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),8725,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
249A,-41.2349868,174.9170661,4,C,350,0.1,Q2,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),63,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
302A,-39.933758,175.052973,20,D,250,0.1,Q2,McVerry (2011),1.2,0.1,Q1,I,Manea et al. 2021 unpublished,78,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),3825,0.5,Q3,NZVM (2021),0,0,0,Wellington
505A,-42.94831943,171.5668155,740,C,300,0.1,Q2,McVerry (2011),0.4,0.2,Q2,Ms,McVerry (2011),30,0.1,Q2,1,Kaiser et al. (2017),275,0.5,Q3,NZVM (2021),0,0,0,Canterbury
608A,-41.22408646,174.8793657,2,D,200,0.1,Q2,McVerry (2011),2,0.2,Q2,I,Unpub HVSR (Van Houtte),275,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
647A,-41.28708767,174.7779641,1,C,474,0.1,Q2,McVerry (2011),0.16,0.2,Q2,I,Kaiser et al. 2019,11,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
647D,-41.2875116,174.7769631,1,C,474,0.1,Q2,McVerry (2011),0.07,0.2,Q2,I,Kaiser et al. 2019,6,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
651A,-41.20468612,174.9232663,20,D,330,0.1,Q2,Kaiser & Louie (2006),1,0.3,Q3,I,Boon et al. (2010),138,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
900B,-41.29208779,174.7789641,3,D,267,0.1,Q2,McVerry (2011),1,0.2,Q2,I,Kaiser et al. 2019,119,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
902A,-41.27755446,174.7792582,9,D,275,0.1,Q2,McVerry (2011),1.1,0.2,Q2,I,Kaiser et al. 2019,108,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
907A,-41.27878748,174.7784642,2,D,250,0.1,Q2,McVerry (2011),1.05,0.2,Q2,I,Kaiser et al. 2019,95,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
911A,-41.2885877,174.7768641,3,C,358,0.1,Q2,McVerry (2011),0.25,0.2,Q2,I,Kaiser et al. 2019,15,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
912A,-41.32628865,174.8084644,6,D,239,0.1,Q2,McVerry (2011),1.12,0.03,Q1,Mw,Stolte et al. 2021 unpublished,66,0.05,Q2,1,Stolte et al. 2021 unpublished,325,0.3,Q3,NZVM (2021),0,0,0,Wellington
914A,-41.29498784,174.773464,16,C,282,0.1,Q2,McVerry (2011),0.49,0.2,Q2,I,Kaiser et al. 2019,41,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
914B,-41.29498784,174.773464,16,C,282,0.1,Q2,McVerry (2011),0.49,0.2,Q2,I,Kaiser et al. 2019,41,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
916A,-41.29408783,174.7756641,12,D,291,0.1,Q2,McVerry (2011),0.75,0.2,Q2,I,Kaiser et al. 2019,81,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
919A,-41.29358782,174.7768641,8,D,307,0.1,Q2,McVerry (2011),0.92,0.2,Q2,I,Kaiser et al. 2019,108,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
941A,-41.29208779,174.7789641,3,D,272,0.1,Q2,McVerry (2011),1.03,0.2,Q2,I,Kaiser et al. 2019,119,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
APPS,-42.94894944,171.5677355,19,C,300,0.1,Q2,McVerry (2011),0.44,0.1,Q1,Ms,Manea et al. 2021 unpublished,30,0.1,Q2,1,Kaiser et al. (2017),275,0.5,Q3,NZVM (2021),0,0,0,Canterbury
CRLZ,-43.574741,172.6232219,832,B,900,0.1,Q2,van Houtte et al. 2012,0.05,0.3,Q3,Mw,NSHM (2021),0,0.1,Q1,1,Kaiser et al. (2017),1525,0.3,Q3,NZVM (2021),0,0.9,0,Canterbury
DUNS,-45.9051559,170.4706449,9,C,500,0.1,Q2,Kaiser et al. 2017,0.17,0.1,Q1,Ms,Manea et al. 2021 unpublished,9,0.1,Q2,1,Kaiser et al. (2017),325,0.5,Q3,NZVM (2021),0,0,1,Otago
EBPS,-41.28942801,174.9002357,1118,C,540,0.1,Q2,Kaiser & Louie (2006),0.38,0.3,Q3,Mw,Unpub HVSR (Van Houtte),7,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
HWHS,-39.58513919,174.2742448,322,D,210,0.1,Q2,Barker 1997a,0.6,0.1,Q1,Ms,Manea et al. 2021 unpublished,49,0.5,Q2,1,Kaiser et al. (2017) & NZVM (2021),1425,0.5,Q3,NZVM (2021),0,0,0,Taranaki
KAFS,-38.0835149,176.7092902,35,D,220,0.1,Q2,Kaiser et al. 2017,1.2,0.1,Q1,Mw,Manea et al. 2021 unpublished,78,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,1,South Auckland
LNBS,-41.20498,174.9266,728,D,330,0.1,Q2,Kaiser & Louie (2006),0.8,0.3,Q3,I,Boon et al. (2010),131,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
NGHS,-39.48587311,176.9149278,7,C,440,0.1,Q2,Stolte et al. 2021 unpublished,0.187,0.13,Q1,Mw,Stolte et al. 2021 unpublished,61,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6675,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
PGMS,-41.22450647,174.8794357,490,D,200,0.1,Q2,Kaiser & Louie (2006),1.788,0.0389,Q1,Ms,Stolte et al. 2021 unpublished,274,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
PRKS,-41.24901997,174.9341325,2,D,190,0.1,Q2,Kaiser & Louie 2006,0.8,0.1,Q1,Ms,Manea et al. 2021 unpublished,70,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
PVCS,-41.22474608,174.8739174,20,D,190,0.1,Q2,Kaiser & Louie (2006),2,0.2,Q2,I,Manea et al. 2021 unpublished,296,0.1,Q2,1,Boon et al. (2010),325,0.3,Q3,NZVM (2021),0,0,0,Wellington
SKFS,-45.89862582,170.5097155,150,E,140,0.1,Q2,Barker 1996,0.69,0.164,Q1,I,Sangster 2020,50,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.3,Q3,NZVM (2021),0,0,1,Otago
WFSS,-39.03424496,177.4249057,42,D,155,0.1,Q2,Barker 1994,1,0.1,Q1,I,Manea et al. 2021 unpublished,98,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),8825,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
MKAZ,-37.10413,175.16117,1560,B,800,0.2,Q2,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,55,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),1,0,0,North Auckland
MOZ,-38.50402867,174.8031755,386,B,800,0.2,Q2,NSHM 2021,0.05,0.1,Q1,I,Manea et al. 2021 unpublished,45,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0,South Auckland
014A,-39.49995332,176.8754973,20,D,176,0.05,Q1,Stolte et al. 2021 unpublished,1.1,0.1,Q1,I,Manea et al. 2021 unpublished,118,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),6475,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
017A,-38.66623886,178.0227143,5,D,162,0.0108,Q1,Stolte et al. 2021 unpublished,0.9061,0.0969,Q1,Ms,Stolte et al. 2021 unpublished,120,0.0723,Q2,1,Stolte et al. (2021) unpublished,10125,0.5,Q3,NZVM (2021),0,0,0,Gisborne
029A,-39.64545628,176.8429964,10,D,196,0.0204,Q1,Stolte et al. 2021 unpublished,3.32,0.17,Q2,I,Stolte et al. 2021 unpublished,97,0.465,Q2,0,Stolte et al. (2021) unpublished,5175,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
468A,-41.20108611,174.9546667,12,D,190,0.05,Q1,Kaiser & Louie (2006),0.9,0.3,Q3,I,Unpub HVSR (Kaiser),51,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
642A,-41.2349868,174.9171661,4,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),58,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
642E,-41.23408678,174.9179661,3,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),39,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
642G,-41.234981,174.9171844,4,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),24,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
642H,-41.2349868,174.9171661,4,C,350,0.05,Q1,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),24,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
646A,-41.25708738,174.9481664,87,E,120,0.05,Q1,Kaiser & Louie (2006),1.6,0.1,Q1,Mu,Stephenson & Barker 1992,62,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
646B,-41.25628736,174.9479664,87,E,120,0.05,Q1,Kaiser & Louie (2006),1.6,0.1,Q1,Mu,Stephenson & Barker 1992,62,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
646C,-41.25628736,174.9479664,87,E,120,0.05,Q1,Kaiser & Louie (2006),1.6,0.1,Q1,Mu,Stephenson & Barker 1992,62,0.1,Q2,1,Kaiser et al. (2017),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
709A,-38.62743789,177.9205131,9,E,156,0.0183,Q1,Stolte et al. 2021 unpublished,1.499,0.2122,Q1,I,Stolte et al. 2021 unpublished,180,0.236,Q2,1,Stolte et al. 2021 unpublished,9225,0.5,Q3,NZVM (2021),0,0,0,Gisborne
928B,-39.67105689,176.8801967,22,D,256,0.0196,Q1,Stolte et al. 2021 unpublished,2.65,0.07,Q1,Ms,Stolte et al. 2021 unpublished,302,0.0696,Q2,1,Stolte et al. 2021 unpublished,5625,0.5,Q3,NZVM (2021),0,0,0,Hawkes Bay
934B,-41.24358698,174.907966,1,D,180,0.05,Q1,Kaiser & Louie (2006),1.1,0.3,Q3,I,Boon et al. (2010),183,0.1,Q2,1,Boon et al. (2010),275,0.3,Q3,NZVM (2021),0,0,0,Wellington
AKSS,-43.81091,172.96349,266,C,435,0.05,Q1,Unpublished MASW (C. Van Houtte),0.3,0.1,Q1,Mw,Kaiser et al. (2013),10,0.1,Q2,1,Kaiser et al. (2017),1425,0.3,Q3,NZVM (2021),0,0,0,Canterbury
CACS,-43.48317559,172.5300153,266,D,435,0.05,Q1,Wotherspoon et al. 2015,6.79,0.1,Q1,Ma,Stolte et al. 2021,595,0.3,Q3,0,NZVM (2021),2675,0.3,Q3,NZVM (2021),0,0,0,Canterbury
CBGS,-43.52934701,172.6198762,63,D,197,0.05,Q1,Wotherspoon et al. 2015,4.35,0.1,Q1,I,Stolte et al. 2021,545,0.3,Q3,0,NZVM (2021),2375,0.3,Q3,NZVM (2021),0,0,0,Canterbury
